Designator,Mid X,Mid Y,Rotation,Layer
D1,14.05,-54.0875,90.0,bottom
D10,223.6,-54.0875,90.0,bottom
D11,242.65,-54.0875,90.0,bottom
D12,261.7,-54.0875,90.0,bottom
D13,14.05,-77.9,90.0,bottom
D14,33.1,-77.9,90.0,bottom
D15,52.15,-77.9,90.0,bottom
D16,71.2,-77.9,90.0,bottom
D17,90.25,-77.9,90.0,bottom
D18,109.3,-77.9,90.0,bottom
D19,128.35,-77.9,90.0,bottom
D2,42.625,-54.0875,90.0,bottom
D20,147.4,-77.9,90.0,bottom
D21,166.45,-77.9,90.0,bottom
D22,185.5,-77.9,90.0,bottom
D23,204.55,-77.9,90.0,bottom
D24,223.6,-77.9,90.0,bottom
D25,242.65,-77.9,90.0,bottom
D26,271.225,-77.9,90.0,bottom
D27,304.5625,-87.425,90.0,bottom
D28,18.8125,-96.95,90.0,bottom
D29,42.625,-96.95,90.0,bottom
D3,61.675,-54.0875,90.0,bottom
D30,61.675,-96.95,90.0,bottom
D31,80.725,-96.95,90.0,bottom
D32,99.775,-96.95,90.0,bottom
D33,118.825,-96.95,90.0,bottom
D34,137.875,-96.95,90.0,bottom
D35,156.925,-96.95,90.0,bottom
D36,175.975,-96.95,90.0,bottom
D37,195.025,-96.95,90.0,bottom
D38,214.075,-96.95,90.0,bottom
D39,233.125,-96.95,90.0,bottom
D4,80.725,-54.0875,90.0,bottom
D40,252.175,-96.95,90.0,bottom
D41,275.9875,-96.95,90.0,bottom
D42,304.5625,-106.475,90.0,bottom
D43,21.19375,-116.0,90.0,bottom
D44,47.3875,-116.0,90.0,bottom
D45,66.4375,-116.0,90.0,bottom
D46,85.4875,-116.0,90.0,bottom
D47,104.5375,-116.0,90.0,bottom
D48,123.5875,-116.0,90.0,bottom
D49,142.6375,-116.0,90.0,bottom
D5,99.775,-54.0875,90.0,bottom
D50,161.6875,-116.0,90.0,bottom
D51,180.7375,-116.0,90.0,bottom
D52,199.7875,-116.0,90.0,bottom
D53,218.8375,-116.0,90.0,bottom
D54,237.8875,-116.0,90.0,bottom
D55,268.84375,-116.0,90.0,bottom
D56,304.5625,-125.525,90.0,bottom
D57,25.95625,-135.05,90.0,bottom
D58,56.9125,-135.05,90.0,bottom
D59,75.9625,-135.05,90.0,bottom
D6,133.1125,-54.0875,90.0,bottom
D60,95.0125,-135.05,90.0,bottom
D61,114.0625,-135.05,90.0,bottom
D62,133.1125,-135.05,90.0,bottom
D63,152.1625,-135.05,90.0,bottom
D64,171.2125,-135.05,90.0,bottom
D65,190.2625,-135.05,90.0,bottom
D66,209.3125,-135.05,90.0,bottom
D67,228.3625,-135.05,90.0,bottom
D68,264.08125,-135.05,90.0,bottom
D69,304.5625,-144.575,90.0,bottom
D7,152.1625,-54.0875,90.0,bottom
D70,16.43125,-154.1,90.0,bottom
D71,40.24375,-154.1,90.0,bottom
D72,64.05625,-154.1,90.0,bottom
D73,135.49375,-154.1,90.0,bottom
D74,206.93125,-154.1,90.0,bottom
D75,230.74375,-154.1,90.0,bottom
D76,254.55625,-154.1,90.0,bottom
D77,278.36875,-154.1,90.0,bottom
D8,171.2125,-54.0875,90.0,bottom
D9,190.2625,-54.0875,90.0,bottom
SW1,8.97,-47.9225,0.0,top
SW10,218.52,-47.9225,0.0,top
SW11,237.57,-47.9225,0.0,top
SW12,256.62,-47.9225,0.0,top
SW13,8.97,-71.735,0.0,top
SW14,28.02,-71.735,0.0,top
SW15,47.07,-71.735,0.0,top
SW16,66.12,-71.735,0.0,top
SW17,85.17,-71.735,0.0,top
SW18,104.22,-71.735,0.0,top
SW19,123.27,-71.735,0.0,top
SW2,37.545,-47.9225,0.0,top
SW20,142.32,-71.735,0.0,top
SW21,161.37,-71.735,0.0,top
SW22,180.42,-71.735,0.0,top
SW23,199.47,-71.735,0.0,top
SW24,218.52,-71.735,0.0,top
SW25,237.57,-71.735,0.0,top
SW26,266.145,-71.735,0.0,top
SW27,299.4825,-81.26,0.0,top
SW28,13.7325,-90.785,0.0,top
SW29,37.545,-90.785,0.0,top
SW3,56.595,-47.9225,0.0,top
SW30,56.595,-90.785,0.0,top
SW31,75.645,-90.785,0.0,top
SW32,94.695,-90.785,0.0,top
SW33,113.745,-90.785,0.0,top
SW34,132.795,-90.785,0.0,top
SW35,151.845,-90.785,0.0,top
SW36,170.895,-90.785,0.0,top
SW37,189.945,-90.785,0.0,top
SW38,208.995,-90.785,0.0,top
SW39,228.045,-90.785,0.0,top
SW4,75.645,-47.9225,0.0,top
SW40,247.095,-90.785,0.0,top
SW41,270.9075,-90.785,0.0,top
SW42,299.4825,-100.31,0.0,top
SW43,16.11375,-109.835,0.0,top
SW44,42.3075,-109.835,0.0,top
SW45,61.3575,-109.835,0.0,top
SW46,80.4075,-109.835,0.0,top
SW47,99.4575,-109.835,0.0,top
SW48,118.5075,-109.835,0.0,top
SW49,137.5575,-109.835,0.0,top
SW5,94.695,-47.9225,0.0,top
SW50,156.6075,-109.835,0.0,top
SW51,175.6575,-109.835,0.0,top
SW52,194.7075,-109.835,0.0,top
SW53,213.7575,-109.835,0.0,top
SW54,232.8075,-109.835,0.0,top
SW55,263.76375,-109.835,0.0,top
SW56,299.4825,-119.36,0.0,top
SW57,20.87625,-128.885,0.0,top
SW58,51.8325,-128.885,0.0,top
SW59,70.8825,-128.885,0.0,top
SW6,128.0325,-47.9225,0.0,top
SW60,89.9325,-128.885,0.0,top
SW61,108.9825,-128.885,0.0,top
SW62,128.0325,-128.885,0.0,top
SW63,147.0825,-128.885,0.0,top
SW64,166.1325,-128.885,0.0,top
SW65,185.1825,-128.885,0.0,top
SW66,204.2325,-128.885,0.0,top
SW67,223.2825,-128.885,0.0,top
SW68,259.00125,-128.885,0.0,top
SW69,299.4825,-138.41,0.0,top
SW7,147.0825,-47.9225,0.0,top
SW70,11.35125,-147.935,0.0,top
SW71,35.16375,-147.935,0.0,top
SW72,58.97625,-147.935,0.0,top
SW73,130.41375,-147.935,0.0,top
SW74,201.85125,-147.935,0.0,top
SW75,225.66375,-147.935,0.0,top
SW76,249.47625,-147.935,0.0,top
SW77,273.28875,-147.935,0.0,top
SW8,166.1325,-47.9225,0.0,top
SW9,185.1825,-47.9225,0.0,top
U1,287.38,-52.31,0.0,top
